feature,importance_mean,importance_std
median_income,0.6433664606035502,0.011348493780800526
ocean_proximity,0.2715980357121096,0.004590719505763632
population,0.23992511514096643,0.004912602728095738
households,0.22256982053931984,0.005409897804803289
total_rooms,0.15666882212768715,0.002198766147511406
longitude,0.13433811385964867,0.0031866238652175226
latitude,0.10814449668053029,0.0019490452981678955
housing_median_age,0.0781340397267828,0.0025082442584306646
total_bedrooms,0.06426655272649333,0.0020985033772667467
