model,R2_mean,R2_std,MAE_mean,RMSE_mean
ExtraTrees,0.846689033153822,0.0047156502873227715,29612.08415208333,45245.73427122187
RandomForest,0.837967189745136,0.004268992410945808,30228.600660833334,46516.15624353655
GradientBoosting,0.7847610686278761,0.0046077118464697385,37178.07777190603,53614.208372343295
LinearRegression,0.6488609109317541,0.006775896760664744,49288.45964894198,68481.09281084713
Ridge,0.6485111929451742,0.007277867297376699,49287.8525037135,68514.70130195146
Lasso,0.6482437250432703,0.0074920221429149855,49297.46479617612,68540.52581246264
ElasticNet,0.0226302262566229,0.0005287144709647257,90379.46828910205,114258.08041568815
