feature,rf_importance
RM,0.6128788628443348
LSTAT,0.21586533082646503
CRIM,0.04113359756848826
DIS,0.039183026932599736
PTRATIO,0.026057551205102426
NOX,0.013930692204802938
TAX,0.011826225880024957
AGE,0.011364191939462165
B,0.010737082772930773
RAD,0.009060327072175566
INDUS,0.00620372433350391
ZN,0.0013671387074000961
CHAS,0.00039224771270952077
