model,R2_mean,R2_std,MAE_mean,RMSE_mean
ExtraTrees,0.9486770894734118,0.020204910423619868,1.1467323890670191,2.101661381286532
XGBoost,0.9287943975333051,0.021550776580404656,1.6985777251933194,2.5010519636272095
LightGBM,0.925933076146474,0.021627487336186208,1.5495326407133811,2.555440217203001
GradientBoosting,0.9194817643611584,0.023033282229892437,1.7895570888132135,2.660901434176913
RandomForest,0.9113326847772066,0.025772891610574323,1.678081707179977,2.793957653072663
Ridge,0.7661105920305961,0.029419704474705835,3.3372071725330925,4.598449405816189
Lasso,0.7658873512379409,0.029533159255589594,3.3330153642542735,4.6007559438815
LinearRegression,0.765875004429823,0.029309908712002012,3.355048337473394,4.600627667376878
ElasticNet,0.7655338853038703,0.029920697716273637,3.3052751587338447,4.604197884498449
