feature,mutual_information
RM,0.9494286250138027
LSTAT,0.935574390711289
NOX,0.8205738008599504
AGE,0.7458748675257096
INDUS,0.739540086380023
DIS,0.6982388375270849
PTRATIO,0.6861037300641382
TAX,0.5893257099218183
RAD,0.4236080951973151
CRIM,0.3843676899003312
B,0.3431126589627107
ZN,0.26556975407897454
CHAS,0.04869435817246881
