model,accuracy_mean,f1_macro_mean,precision_macro_mean,recall_macro_mean
RandomForest,0.8387499999999999,0.8396546363584848,0.8452150290221022,0.8386263864251285
ExtraTrees,0.83125,0.8311808601439183,0.8336513776523657,0.830866885269401
GradientBoosting,0.8012499999999999,0.8023927120982833,0.808163265215202,0.8009989428228422
LogisticRegression,0.7725,0.7728280240588633,0.7782277959797214,0.7717608271067391
LinearSVC,0.75125,0.7468271075485264,0.7496177802032877,0.7499238474081241
KNN,0.7012499999999999,0.7015856467551467,0.7071407601229814,0.7003789711336882
